codigo_distrito,nombre_distrito
0,MAR TERRITORIAL
01D01,CUENCA NORTE
01D02,CUENCA SUR
01D03,GIRON
01D04,GUALACEO
01D05,NABON
01D06,PAUTE
01D07,PONCE ENRIQUEZ
01D08,SIG SIG
02D01,GUARANDA
02D02,CHILLANES
02D03,SAN MIGUEL
02D04,SUBTROPICO
03D01,AZOGUES
03D02,CAÑAR
03D03,LA TRONCAL
04D01,TULCAN
04D02,MONTUFAR
04D03,ESPEJO
05D01,LATACUNGA
05D02,LA MANA
05D03,PANGUA
05D04,DANSANTE
05D05,SIGCHOS
05D06,SALCEDO
06D01,RIOBAMBA
06D02,ALAUSI
06D03,PALLATANGA
06D04,COLTA
06D05,GUANO
07D01,PASAJE
07D02,MACHALA
07D03,ZARUMA
07D04,PIÑAS
07D05,HUAQUILLAS
07D06,SANTA ROSA
08D01,ESMERALDAS
08D02,ELOY ALFARO
08D03,ATACAMES
08D04,QUININDE
08D05,SAN LORENZO
08D06,RIO VERDE
09D01,SUR
09D02,ESTEROS
09D03,9 DE OCTUBRE
09D04,PORTETE
09D05,MODELO
09D06,FLORIDA
09D07,PASCUALES
09D08,NUEVA PROSPERINA
09D09,CEIBOS
09D10,PROGRESO
09D11,JUJAN SIMON BOLIVAR
09D12,NARANJAL BALAO
09D13,BALZAR
09D14,PEDRO CARBO
09D15,EL EMPALME
09D16,EL TRIUNFO BUCAY
09D17,MILAGRO
09D18,NARANJITO MARCELINO MARIDUEÑA
09D19,DAULE
09D20,SALITRE
09D21,YAGUACHI
09D22,PLAYAS
09D23,SAMBORONDON
09D24,DURAN
10D01,CIUDAD BLANCA
10D02,VALLE DEL AMANECER
10D03,TIERRA DEL SOL
10D03,LAS GOLONDRINAS
11D01,LOJA
11D02,CATAMAYO
11D03,CATACOCHA
11D04,SABANILLA
11D05,ESPINDOLA
11D06,CALVAS
11D07,MACARA
11D08,SARAGURO
11D09,ZAPOTILLO
12D01,BABAHOYO
12D02,PUEBLOVIEJO
12D03,QUEVEDO
12D04,VENTANAS
12D05,VINCES
12D06,BUENA FE
13D01,PORTOVIEJO
13D02,MANTA
13D03,JIPIJAPA
13D04,24 DE MAYO
13D05,EL CARMEN
13D06,BOLIVAR JUNIN
13D07,CHONE
13D08,PICHINCHA
13D09,PAJAN
13D10,PEDERNALES
13D11,SUCRE
13D12,ROCAFUERTE
14D01,MORONA
14D02,SANGAY
14D03,CENTRO SUR
14D04,SUR
14D05,TAISHA
14D06,MENDEZ
15D01,TENA
15D02,EL VALLE DE QUIJOS
16D01,PASTAZA
16D02,ARAJUNO
17D01,NANEGAL
17D02,CALDERON
17D03,LA DELICIA
17D04,MANUELA SAENZ
17D05,EUGENIO ESPEJO
17D06,ELOY ALFARO
17D07,QUITUMBE
17D08,LOS CHILLOS
17D09,TUMBACO
17D10,CAYAMBE
17D11,RUMIÑAHUI - MEJIA
17D12,NOROCCIDENTE
18D01,AMBATO NORTE
18D02,AMBATO SUR
18D03,BAÑOS
18D04,PATATE
18D05,PILLARO
18D06,QUERO
19D01,ZAMORA
19D02,PAQUISHA
19D03,CHINCHIPE
19D04,YANTZAZA
20D01,GALAPAGOS
21D01,SUCUMBIOS
21D02,LAGO AGRIO
21D03,PUTUMAYO
21D04,SHUSHUFINDI
22D01,LA JOYA DE LOS SACHAS
22D02,ORELLANA LORETO
22D03,AGUARICO
23D01,SANTO DOMINGO ESTE
23D02,SANTO DOMINGO OESTE
23D03,LA CONCORDIA
24D01,SANTA ELENA
24D02,LIBERTAD SALINAS
90D01,EL PIEDRERO
